"Time","write"
2023-12-20 14:34:00,0
2023-12-20 14:34:10,0
2023-12-20 14:34:20,0
2023-12-20 14:34:30,8048
2023-12-20 14:34:40,10215
2023-12-20 14:34:50,12382
2023-12-20 14:35:00,14455
2023-12-20 14:35:10,15907
2023-12-20 14:35:20,15907
2023-12-20 14:35:30,17093
2023-12-20 14:35:40,18280
2023-12-20 14:35:50,18280
2023-12-20 14:36:00,20097
2023-12-20 14:36:10,21914
2023-12-20 14:36:20,21914
2023-12-20 14:36:30,23487
2023-12-20 14:36:40,25061
2023-12-20 14:36:50,25061
2023-12-20 14:37:00,16403
2023-12-20 14:37:10,7745
2023-12-20 14:37:20,7745
2023-12-20 14:37:30,3872
2023-12-20 14:37:40,0
2023-12-20 14:37:50,0
2023-12-20 14:38:00,0

