"Time","write"
2023-11-23 16:34:40,0
2023-11-23 16:34:50,0
2023-11-23 16:35:00,158
2023-11-23 16:35:10,315
2023-11-23 16:35:20,315
2023-11-23 16:35:30,1876
2023-11-23 16:35:40,3436
2023-11-23 16:35:50,3436
2023-11-23 16:36:00,4398
2023-11-23 16:36:10,5361
2023-11-23 16:36:20,5361
2023-11-23 16:36:30,6076
2023-11-23 16:36:40,6791
2023-11-23 16:36:50,6791
2023-11-23 16:37:00,5666
2023-11-23 16:37:10,4540
2023-11-23 16:37:20,4540
2023-11-23 16:37:30,5713
2023-11-23 16:37:40,6886
2023-11-23 16:37:50,6886
2023-11-23 16:38:00,6771
2023-11-23 16:38:10,6656
2023-11-23 16:38:20,6656
2023-11-23 16:38:30,6608
2023-11-23 16:38:40,6560
2023-11-23 16:38:50,6560
2023-11-23 16:39:00,6672
2023-11-23 16:39:10,6784
2023-11-23 16:39:20,6784
2023-11-23 16:39:30,6877
2023-11-23 16:39:40,6969
2023-11-23 16:39:50,6969
2023-11-23 16:40:00,6966
2023-11-23 16:40:10,6962
2023-11-23 16:40:20,6962
2023-11-23 16:40:30,7091
2023-11-23 16:40:40,7221
2023-11-23 16:40:50,7221
2023-11-23 16:41:00,7021
2023-11-23 16:41:10,6821
2023-11-23 16:41:20,6821
2023-11-23 16:41:30,6762
2023-11-23 16:41:40,6703
2023-11-23 16:41:50,6703
2023-11-23 16:42:00,5596
2023-11-23 16:42:10,4489
2023-11-23 16:42:20,4489
2023-11-23 16:42:30,4669
2023-11-23 16:42:40,4849
2023-11-23 16:42:50,4849
2023-11-23 16:43:00,8156
2023-11-23 16:43:10,11463
2023-11-23 16:43:20,11463
2023-11-23 16:43:30,6828
2023-11-23 16:43:40,2193
2023-11-23 16:43:50,2193
2023-11-23 16:44:00,1097
2023-11-23 16:44:10,0
2023-11-23 16:44:20,0

