"Time","write"
2023-11-23 12:50:00,0
2023-11-23 12:50:10,0
2023-11-23 12:50:20,0
2023-11-23 12:50:30,927
2023-11-23 12:50:40,1853
2023-11-23 12:50:50,1853
2023-11-23 12:51:00,2977
2023-11-23 12:51:10,4101
2023-11-23 12:51:20,4101
2023-11-23 12:51:30,5214
2023-11-23 12:51:40,6326
2023-11-23 12:51:50,6326
2023-11-23 12:52:00,6562
2023-11-23 12:52:10,6798
2023-11-23 12:52:20,6798
2023-11-23 12:52:30,6730
2023-11-23 12:52:40,6661
2023-11-23 12:52:50,6661
2023-11-23 12:53:00,4916
2023-11-23 12:53:10,3171
2023-11-23 12:53:20,3171
2023-11-23 12:53:30,4745
2023-11-23 12:53:40,6319
2023-11-23 12:53:50,6319
2023-11-23 12:54:00,6362
2023-11-23 12:54:10,6405
2023-11-23 12:54:20,6405
2023-11-23 12:54:30,6452
2023-11-23 12:54:40,6500
2023-11-23 12:54:50,6500
2023-11-23 12:55:00,6622
2023-11-23 12:55:10,6744
2023-11-23 12:55:20,6744
2023-11-23 12:55:30,6704
2023-11-23 12:55:40,6664
2023-11-23 12:55:50,6664
2023-11-23 12:56:00,6665
2023-11-23 12:56:10,6665
2023-11-23 12:56:20,6665
2023-11-23 12:56:30,6649
2023-11-23 12:56:40,6632
2023-11-23 12:56:50,6632
2023-11-23 12:57:00,4973
2023-11-23 12:57:10,3313
2023-11-23 12:57:20,3313
2023-11-23 12:57:30,4739
2023-11-23 12:57:40,6164
2023-11-23 12:57:50,6164
2023-11-23 12:58:00,4192
2023-11-23 12:58:10,2220
2023-11-23 12:58:20,2220
2023-11-23 12:58:30,4612
2023-11-23 12:58:40,7005
2023-11-23 12:58:50,7005
2023-11-23 12:59:00,6364
2023-11-23 12:59:10,5724
2023-11-23 12:59:20,5724
2023-11-23 12:59:30,5507
2023-11-23 12:59:40,5290
2023-11-23 12:59:50,5290
2023-11-23 13:00:00,2868
2023-11-23 13:00:10,445
2023-11-23 13:00:20,445
2023-11-23 13:00:30,222
2023-11-23 13:00:40,0
2023-11-23 13:00:50,0
2023-11-23 13:01:00,0

