"Time","avgWriteLoadPerNode"
1703334180000,0
1703334185000,0
1703334190000,0
1703334195000,0
1703334200000,0
1703334205000,0
1703334210000,0
1703334215000,0
1703334220000,0
1703334225000,0
1703334230000,0
1703334235000,0
1703334240000,0
1703334245000,0
1703334250000,0
1703334255000,0
1703334260000,0
1703334265000,0
1703334270000,0
1703334275000,0
1703334280000,0
1703334285000,0
1703334290000,0
1703334295000,0
1703334300000,0
1703334305000,0
1703334310000,0
1703334315000,0
1703334320000,0
1703334325000,0
1703334330000,0
1703334335000,0
1703334340000,0
1703334345000,0
1703334350000,0
1703334355000,0
1703334360000,0
1703334365000,0
1703334370000,0
1703334375000,0
1703334380000,0
1703334385000,0
1703334390000,0
1703334395000,0
1703334400000,0
1703334405000,0
1703334410000,0
1703334415000,0
1703334420000,0
1703334425000,0
1703334430000,0
1703334435000,0
1703334440000,0
1703334445000,0
1703334450000,0
1703334455000,0
1703334460000,0
1703334465000,0
1703334470000,0
1703334475000,0
1703334480000,0
1703334485000,0
1703334490000,0
1703334495000,0
1703334500000,0
1703334505000,0
1703334510000,0
1703334515000,0
1703334520000,0
1703334525000,0
1703334530000,0
1703334535000,0
1703334540000,0
1703334545000,0
1703334550000,0
1703334555000,0
1703334560000,0
1703334565000,0
1703334570000,0
1703334575000,0
1703334580000,0
1703334585000,0
1703334590000,0
1703334595000,0
1703334600000,0
1703334605000,0
1703334610000,0
1703334615000,0
1703334620000,0
1703334625000,0
1703334630000,0
1703334635000,0
1703334640000,0
1703334645000,0
1703334650000,0
1703334655000,0
1703334660000,0
1703334665000,0
1703334670000,0
1703334675000,0
1703334680000,0
1703334685000,0
1703334690000,0
1703334695000,0
1703334700000,0
1703334705000,0
1703334710000,0
1703334715000,0
1703334720000,0
1703334725000,0
1703334730000,0
1703334735000,0
1703334740000,0
1703334745000,0
1703334750000,0
1703334755000,0
1703334760000,0
1703334765000,0
1703334770000,0
1703334775000,0
1703334780000,0
1703334785000,0
1703334790000,0
1703334795000,0
1703334800000,0
1703334805000,200.44142857142856
1703334810000,200.44142857142856
1703334815000,200.44142857142856
1703334820000,200.44142857142856
1703334825000,1163.9323760136083
1703334830000,1163.9323760136083
1703334835000,1163.9323760136083
1703334840000,1163.9323760136083
1703334845000,2449.3178724085606
1703334850000,2449.3178724085606
1703334855000,2449.3178724085606
1703334860000,2449.3178724085606
1703334865000,2461.311875
1703334870000,2461.311875
1703334875000,2461.311875
1703334880000,2461.311875
1703334885000,2461.311875
1703334890000,2461.311875
1703334895000,2461.311875
1703334900000,2461.311875
1703334905000,2481.995
1703334910000,2481.995
1703334915000,2481.995
1703334920000,2481.995
1703334925000,4002.202142857143
1703334930000,4002.202142857143
1703334935000,4002.202142857143
1703334940000,4002.202142857143
1703334945000,4002.202142857143
1703334950000,4002.202142857143
1703334955000,4002.202142857143
1703334960000,4002.202142857143
1703334965000,7548.491428571429
1703334970000,7548.491428571429
1703334975000,7548.491428571429
1703334980000,7548.491428571429
1703334985000,10245.064986686386
1703334990000,10245.064986686386
1703334995000,10245.064986686386
1703335000000,10245.064986686386
1703335005000,11830.16451486684
1703335010000,11830.16451486684
1703335015000,11830.16451486684
1703335020000,11830.16451486684
1703335025000,13884.19881116135
1703335030000,13884.19881116135
1703335035000,13884.19881116135
1703335040000,13884.19881116135
1703335045000,15031.284305784007
1703335050000,15031.284305784007
1703335055000,15031.284305784007
1703335060000,15031.284305784007
1703335065000,16702.551112361027
1703335070000,16702.551112361027
1703335075000,16702.551112361027
1703335080000,16702.551112361027
1703335105000,18865.065624197352
1703335110000,18865.065624197352
1703335115000,18865.065624197352
1703335120000,18865.065624197352
1703335125000,18003.483486763806
1703335130000,18003.483486763806
1703335135000,18003.483486763806
1703335140000,18003.483486763806
1703335145000,16474.321572081248
1703335150000,16474.321572081248
1703335155000,16474.321572081248
1703335160000,16474.321572081248
1703335165000,13319.52
1703335170000,13319.52
1703335175000,13319.52
1703335180000,13319.52
1703335185000,13591.388576857216
1703335190000,13591.388576857216
1703335195000,13591.388576857216
1703335200000,13591.388576857216
1703335205000,12906.702203059478
1703335210000,12906.702203059478
1703335215000,12906.702203059478
1703335220000,12906.702203059478
1703335225000,11261.49358534761
1703335230000,11261.49358534761
1703335235000,11261.49358534761
1703335240000,11261.49358534761
1703335245000,10718.529279323251
1703335250000,10718.529279323251
1703335255000,10718.529279323251
1703335260000,10718.529279323251
1703335265000,8603.543788491073
1703335270000,8603.543788491073
1703335275000,8603.543788491073
1703335280000,8603.543788491073
1703335285000,6300.616109914919
1703335290000,6300.616109914919
1703335295000,6300.616109914919
1703335300000,6300.616109914919
1703335305000,5993.931746061202
1703335310000,5993.931746061202
1703335315000,5993.931746061202
1703335320000,5993.931746061202
1703335325000,3572.53937658466
1703335330000,3572.53937658466
1703335335000,3572.53937658466
1703335340000,3572.53937658466
1703335345000,596.8369168752797
1703335350000,596.8369168752797
1703335355000,596.8369168752797
1703335360000,596.8369168752797
1703335365000,549.0678162603842
1703335370000,549.0678162603842
1703335375000,549.0678162603842
1703335380000,549.0678162603842
1703335385000,0.012450738916256159
1703335390000,0.012450738916256159
1703335395000,0.012450738916256159
1703335400000,0.012450738916256159
1703335405000,0.008333333333333333
1703335410000,0.008333333333333333
1703335415000,0.008333333333333333
1703335420000,0.008333333333333333
1703335425000,0.008486165467439789
1703335430000,0.008486165467439789
1703335435000,0.008486165467439789
1703335440000,0.008486165467439789
1703335445000,0.0074772201672687715
1703335450000,0.0074772201672687715
1703335455000,0.0074772201672687715
1703335460000,0.0074772201672687715
1703335465000,0.0075
1703335470000,0.0075
1703335475000,0.0075
1703335480000,0.0075
1703335485000,0.007755636137817848
1703335490000,0.007755636137817848
1703335495000,0.007755636137817848
1703335500000,0.007755636137817848
1703335505000,0.007199699949375696
1703335510000,0.007199699949375696
1703335515000,0.007199699949375696
1703335520000,0.007199699949375696
1703335525000,0.007222222222222224
1703335530000,0.007222222222222224
1703335535000,0.007222222222222224
1703335540000,0.007222222222222224
1703335545000,0.0074375490866712265
1703335550000,0.0074375490866712265
1703335555000,0.0074375490866712265
1703335560000,0.0074375490866712265
1703335565000,0.007062054136134213
1703335570000,0.007062054136134213
1703335575000,0.007062054136134213
1703335580000,0.007062054136134213
1703335585000,0.010624999999999999
1703335590000,0.010624999999999999
1703335595000,0.010624999999999999
1703335600000,0.010624999999999999
1703335605000,0.01089330969005135
1703335610000,0.01089330969005135
1703335615000,0.01089330969005135
1703335620000,0.01089330969005135
1703335625000,0.010519684864870855
1703335630000,0.010519684864870855
1703335635000,0.010519684864870855
1703335640000,0.010519684864870855
1703335645000,0
1703335650000,0
1703335655000,0
1703335660000,0
1703335665000,0
1703335670000,0
1703335675000,0
1703335680000,0
1703335685000,0
1703335690000,0
1703335695000,0
1703335700000,0
1703335705000,0
1703335710000,0
1703335715000,0
1703335720000,0
1703335725000,0
1703335730000,0
1703335735000,0
1703335740000,0
1703335745000,0
1703335750000,0
1703335755000,0
1703335760000,0
1703335765000,0
1703335770000,0
1703335775000,0
1703335780000,0
1703335785000,89.126837676724
1703335790000,89.126837676724
1703335795000,89.126837676724
1703335800000,89.126837676724
1703335805000,347.6770043380735
1703335810000,347.6770043380735
1703335815000,347.6770043380735
