"Time","write"
2023-12-20 14:02:00,0
2023-12-20 14:02:10,0
2023-12-20 14:02:20,0
2023-12-20 14:02:30,5641
2023-12-20 14:02:40,11282
2023-12-20 14:02:50,11282
2023-12-20 14:03:00,16637
2023-12-20 14:03:10,21991
2023-12-20 14:03:20,21991
2023-12-20 14:03:30,25267
2023-12-20 14:03:40,28543
2023-12-20 14:03:50,28543
2023-12-20 14:04:00,29667
2023-12-20 14:04:10,30791
2023-12-20 14:04:20,30791
2023-12-20 14:04:30,21592
2023-12-20 14:04:40,12393
2023-12-20 14:04:50,12393
2023-12-20 14:05:00,6197
2023-12-20 14:05:10,0
2023-12-20 14:05:20,0
2023-12-20 14:05:30,0

